"SpillNumber","DateReported","Note","Product","ProductNote","Town","Location","LATITUDE","LONGITUDE"
"A-1-1996",1/2/1996 11:00:00 AM,"","#1 Fuel Oil - Kerosene","","LITCHFIELD","",44.131944,-69.966669
"A-1-2006",1/2/2006 1:50:00 PM,"5 gallons of gasoline at Maritime Farm","Unleaded Gasoline","","ROCKLAND","103 Main Street",44.095985,-69.110385
"A-2-1995",1/6/1995 2:10:00 PM,"","Non-Hazardous Chemical - Unspecified","","RUMFORD","",44.552361,-70.540829
"A-3-1999",1/3/1999 11:05:00 AM,"","#2 Fuel Oil","","LIVERMORE","",44.444645,-70.209895
"A-3-2002",1/2/2002 7:50:55 PM,"TRUCK (BOX) SLID OFF DRIVEWAY, LOST 80 GALS Dan Slocum winter add: 5203 West Harbor Village Drive.  Vero Beach FL 32967, tel. 561-778-2494   "          "      summer add:  PO Box 1061 Camden ME","Diesel","","CAMDEN","Carle Farm Road",44.245371,-69.116252
"A-3-2004",1/2/2004 12:46:00 PM,"1/2 gallon vehicle overfill","Gasoline Unspecified","","FAIRFIELD","Big Apple, 124 Main Street",44.58582,-69.595754
"A-4-1997",1/9/1997 6:20:00 PM,"","#2 Fuel Oil","","FAIRFIELD","",44.666579,-69.709366
"A-4-2005",1/3/2005 4:10:00 PM,"contaminated well. ","Oil - Other - Specified in Report","","SKOWHEGAN","Hewitt residence   N 44 48.477' W 69 39.707'",44.807812,-69.662059
"A-4-2006",1/3/2006 5:40:00 PM,"AST spill to the ground, 25 gallons estimated.","#1 Fuel Oil - Kerosene","","LINCOLNVILLE","80 Masalin Road",44.324151,-69.09693
"A-5-1996",1/5/1996,"","Unleaded Gasoline","","AUGUSTA","",44.329109,-69.732524
"A-5-2000",1/10/2000,"","Unknown Substance","","WEST GARDINER","",44.20643,-69.850947
"A-5-2009",1/2/2009 1:10:00 PM,"home delivery truck flipped onto its side.","#2 Fuel Oil","","NEWCASTLE","Rte 194 (North Newcastle Road) & Highland Ave.  1.5 miles south of Cowshit Corner",44.066402,-69.587368
"A-6-1987",1/21/1987,"","Gasoline Unspecified","","READFIELD","",44.387756,-69.966438
"A-6-1996",1/4/1996,"","Diesel","","RUMFORD","",44.552361,-70.540829
"A-6-1997",1/14/1997,"","Gasoline Unspecified","","FARMINGTON","",44.629161,-70.083541
"A-6-2009",1/4/2009 12:30:00 AM,"Corrosion leak from AST into basement <5 gallons.  Leak rate .25 gallons/60 minute","#2 Fuel Oil","","BOOTHBAY HARBOR","24 Fullerton Street",43.854966,-69.629243
"A-7-1988",1/7/1988 12:00:00 PM,"","Unleaded Gasoline","","WARREN","",44.115145,-69.258048
"A-7-1990",1/3/1990,"","Unleaded Gasoline","","PITTSTON","",44.174885,-69.673122
"A-7-1992",1/8/1992 11:30:00 AM,"","Gasoline Unspecified","","ST GEORGE","",43.963779,-69.217633
"A-7-1993",1/6/1993,"","#2 Fuel Oil","","BELFAST","",44.422895,-69.027499
"A-7-2000",1/4/2000,"","#2 Fuel Oil","","MOUNT VERNON","",44.434289,-69.966715
"A-7-2009",1/7/2009 8:45:00 AM,"Michael Rothchild 684-3427 Outside AST filter broken by falling ice.  Estimated 30 gallons spilled- oil in well","#1 Fuel Oil - Kerosene","","PHILLIPS","218 Tory Hill Road ",44.863364,-70.275951
"A-8-1992",1/8/1992,"","Gasoline Unspecified","","WINTHROP","",44.308056,-69.9725
"A-8-2001",1/8/2001 9:30:00 AM,"","#2 Fuel Oil","","MONMOUTH","",44.241136,-70.034184
"A-9-1985",1/25/1985 11:30:00 AM,"","Leaded Gasoline","","AUGUSTA","",44.349001,-69.796502
"A-9-1986",1/10/1986,"","#2 Fuel Oil","","WATERVILLE","",44.565357,-69.638252
"A-9-1995",1/13/1995 3:00:00 PM,"","#1 Fuel Oil - Kerosene","","ROCKLAND","",44.118509,-69.139003
"A-9-1996",1/9/1996 1:45:00 PM,"","#2 Fuel Oil","","ST GEORGE","",44.011568,-69.175125
"A-9-1998",1/12/1998 10:50:00 AM,"","Lube Oil","","RUMFORD","",44.552361,-70.540829
"A-9-2002",1/4/2002 4:30:51 PM,"175+ GALS. BROKEN VALVE ON OUTSIDE TANK  AST FUND form faxed 1-10-2002 ","#1 Fuel Oil - Kerosene","","BUCKFIELD","Route  117",44.277113,-70.386074
"A-9-2007",1/3/2007 1:00:00 PM,"3 UST removed from Gorham's Store","Premium Unleaded","","WILTON","625 Main Street",44.591257,-70.228788
"A-10-1991",1/18/1991,"","#2 Fuel Oil","","CHELSEA","",44.261899,-69.705299
"A-10-2008",1/5/2008 12:45:00 PM,"Estimated 400 gallons from AST.  snow/ice damage","#1 Fuel Oil - Kerosene","","NORTHPORT","244 Belfast Road.",44.364001,-69.042257
"A-11-1994",1/16/1994,"","Gasoline Unspecified","","BELFAST","",44.423798,-69.018819
"A-11-1995",1/14/1995 10:40:00 AM,"","#1 Fuel Oil - Kerosene","","CHESTERVILLE","",44.562124,-70.137164
"A-11-2003",1/8/2003 2:55:06 PM,"overfill of SUL tank during fueling (premium gasoline)","Gasoline Unspecified","","NEWCASTLE","",44.034141,-69.535288
"A-12-1990",1/9/1990 11:20:00 AM,"","#1 Fuel Oil - Kerosene","","WATERVILLE","",44.525279,-69.696111
"A-13-1984",2/16/1984 11:30:00 AM,"","#2 Fuel Oil","","ALBION","",44.551052,-69.424588
"A-13-1993",1/7/1993,"","Diesel","","WATERVILLE","",44.565755,-69.646922
"A-13-1994",1/8/1994,"","Unleaded Gasoline","","MERCER","",44.677787,-69.923522
"A-13-2000",1/7/2000 12:23:00 PM,"","Diesel","","SKOWHEGAN","",44.785427,-69.731314
"A-13-2001",1/9/2001 6:03:00 AM,"","Diesel","","FARMINGTON","",44.635117,-70.153795
"A-13-2011",1/3/2011 2:00:00 AM,"+- 100 gallons to ground - tank corrosion.  ","#2 Fuel Oil","","WHITEFIELD","15 Maple Lane",44.205131,-69.5826
"A-14-1983",10/31/1983,"","Gasoline Unspecified","","WALDOBORO","",44.098711,-69.408689
"A-14-1987",1/29/1987 9:35:00 AM,"","#2 Fuel Oil","","WINTHROP","",44.30639,-69.974722
"A-14-1994",1/9/1994,"","Gasoline Unspecified","","WATERVILLE","",44.542815,-69.661729
"A-14-2006",1/12/2006 6:00:00 PM,"Overfill alarm - evidence of a leak","#2 Fuel Oil","","AUGUSTA","Augusta Hospital",44.312325,-69.768517
"A-14-2007",1/8/2007 1:30:00 PM,"Unknown amount to ground, outside AST","#1 Fuel Oil - Kerosene","","BRISTOL","27 Cliff Road",43.838734,-69.503889
"A-14-2008",1/3/2008 1:00:00 PM,"250 gallons  from ice damage","#1 Fuel Oil - Kerosene","","AUGUSTA","152 Green Street",44.314278,-69.790078
"A-15-1985",2/4/1985 12:45:00 PM,"","#6 Fuel Oil","","AUGUSTA","",44.308611,-69.784445
"A-15-2010",1/7/2010 8:50:00 AM,"Broken firematic on outside AST 125 gallons spilled","#1 Fuel Oil - Kerosene","","CANAAN","40 Roberts Cove Road Everett Albertson 474-6582",44.788258,-69.521175
"A-15-2011",1/5/2011 1:13:00 PM,"CN Brown Bulk plant (AST) removal.  Soil stained reported by Mike White ","Gasoline Unspecified","","AUGUSTA","Route 201 Riverside Drive CN Brown Bulk Plant",44.340244,-69.756879
"A-16-2000",1/8/2000,"","#1 Fuel Oil - Kerosene","","DAMARISCOTTA","",44.038256,-69.453855
"A-16-2002",1/8/2002 10:14:52 AM,"","#2 Fuel Oil","","CLINTON","AST spill, late report, at a home in Clinton.  Owner, Charlie Alley, reports 100 to 150 gallons spilled.  A fitting at the tank broke sometime Sunday night.  On Rt 100 one mile past the "One Stop" as you are leaving town.",44.643525,-69.480737
"A-16-2004",1/9/2004 11:10:00 AM,"Big Apple leaking customer container","#1 Fuel Oil - Kerosene","","MADISON","17 Old Point Avenue",44.797103,-69.88024
"A-16-2010",1/8/2010 9:30:00 AM,"75 gallons from leaking filter to dirt floor basement.","#2 Fuel Oil","","LITCHFIELD","20 Geth Hill Lane Nicole Lemay ",44.176754,-69.938811
"A-17-1990",1/11/1990,"","Gasoline Unspecified","","ALNA","",44.099875,-69.614605
"A-17-1998",1/14/1998,"","Unspecified Oil","","CHELSEA","",44.247029,-69.766007
"A-18-1984",2/21/1984 1:30:00 PM,"","#2 Fuel Oil","","TURNER","",44.256387,-70.254999
"A-18-1990",1/12/1990 10:00:00 AM,"","#1 Fuel Oil - Kerosene","","GREENE","",44.18417,-70.131389
"A-18-1991",1/10/1991 9:00:00 AM,"","Diesel","","CLINTON","",44.673749,-69.485715
"A-18-2003",1/10/2003 6:20:00 PM,"","Diesel","","BELMONT","Rt 3 B&M Market",44.398671,-69.125283
"A-18-2009",1/11/2009 1:25:00 PM,"Hit AST with plow","#1 Fuel Oil - Kerosene","","BUCKFIELD","165 Back Bryant Road",44.281437,-70.314352
"A-19-1992",1/3/1992,"","Gasoline Unspecified","","WISCASSET","",43.975619,-69.709364
"A-19-1994",1/18/1994,"","#2 Fuel Oil","","BELFAST","",44.424296,-69.006685
"A-19-1998",1/13/1998 9:38:00 AM,"","Lube Oil","","RUMFORD","",44.552361,-70.540829
"A-19-2000",1/10/2000,"","Gasoline Unspecified","","VINALHAVEN","",44.033423,-68.850192
"A-19-2003",1/11/2003 12:00:40 PM,"Colby & Gale reported spill","#1 Fuel Oil - Kerosene","","NOBLEBORO","19 Hutchin's Rd Robert Jackson",44.095005,-69.506551
"A-19-2008",1/7/2008 10:00:00 AM,"AST overfill, delivery to wrong house 10-15 gallons spilled.","#2 Fuel Oil","","SKOWHEGAN","170 Parkman Hill Rd. Fred Currier 474-5416",44.769004,-69.689925
"A-20-1984",2/23/1984 11:00:00 AM,"","#2 Fuel Oil","","HALLOWELL","",44.284443,-69.791666
"A-20-1993",1/12/1993,"","Gasoline Unspecified","","CHELSEA","",44.278115,-69.683154
"A-20-1997",1/22/1997,"","#2 Fuel Oil","","AUGUSTA","",44.275585,-69.715251
"A-20-2001",1/11/2001 4:50:00 PM,"","#2 Fuel Oil","","BRISTOL","",44.000437,-69.483637
"A-20-2004",1/7/2004 8:25:00 AM,"5 gallons to pavement; vehicle overfill.","Gasoline Unspecified","","ROCKLAND","Maritime Farms, 103 S. Main Street",44.095985,-69.110385
"A-20-2006",1/13/2006 12:30:00 PM,"175 gallons - broken fixture (?) To land and tidal waters.","#1 Fuel Oil - Kerosene","","BRISTOL","River View Road",43.900834,-69.534816
"A-21-1989",1/12/1989 9:40:00 AM,"","Transformer Oil","Non PCB - less than 50 ppm.","FARMINGDALE","",44.262502,-69.778611
"A-21-1994",1/13/1994,"","Anti-freeze","","RUMFORD","",44.552361,-70.540829
"A-21-1996",1/16/1996 9:30:00 AM,"","#6 Fuel Oil","","RUMFORD","",44.552361,-70.540829
"A-21-1999",1/14/1999 9:25:00 AM,"","#1 Fuel Oil - Kerosene","","BENTON","",44.579624,-69.548325
"A-21-2001",1/12/2001 7:00:00 AM,"","#2 Fuel Oil","","ROCKLAND","Maritime Energy Bulk Plant on Route One.",44.100923,-69.125776
"A-21-2006",1/14/2006 12:55:00 PM,"Faulty nozzle - 10 gallons to storm drain.","Unleaded Gasoline","","WATERVILLE","Citgo -465 Kennedy Memorial Drive",44.545579,-69.677737
"A-21-2008",1/8/2008 7:45:00 AM,"Estimated 2 gallon overfill.","#2 Fuel Oil","","MANCHESTER","RT 202",44.321926,-69.841831
"A-22-1996",1/16/1996 11:00:00 AM,"","#1 Fuel Oil - Kerosene","","SIDNEY","",44.461884,-69.771159
"A-22-2004",1/9/2004 3:30:00 PM,"Residence of Clyde Bailey  338-3227","#1 Fuel Oil - Kerosene","","NORTHPORT","165 Rocky Road",44.375734,-69.003311
"A-22-2008",1/8/2008 8:45:00 AM,"100 gallons to ground. Snow & ice from roof broke filter on AST.","#2 Fuel Oil","","SKOWHEGAN","Skowhegan Business Park Way - Skowhegan Tool and Equipment Rental",44.762472,-69.689314
"A-23-1988",1/21/1988 11:00:00 AM,"","Unleaded Gasoline","","LITCHFIELD","",44.132949,-69.964866
"A-23-1993",1/14/1993,"","Unspecified Motor Fuel","","ROCKLAND","",44.108649,-69.108225
